# z, u, v, w
4.590000000000000000e+02 4.791727504691523976e+00 3.881026210690768696e+00 1.135818747382590130e-10
4.650000000000000000e+02 4.792107908522584836e+00 3.880884722056696656e+00 1.322141626413720268e-10
4.710000000000000000e+02 4.792627273230468887e+00 3.880888409740065104e+00 -1.818594679972910183e-11
4.770000000000000000e+02 4.793064066023828396e+00 3.881022177495504710e+00 -6.512968426614041587e-12
4.830000000000000000e+02 4.793762399828010778e+00 3.881279090044884583e+00 1.999535712468288255e-11
4.890000000000000000e+02 4.794487633935142767e+00 3.881273534553266735e+00 -4.285404390969743016e-11
4.950000000000000000e+02 4.795494009199994245e+00 3.881359516760442219e+00 -2.402659455763090303e-11
5.010000000000000000e+02 4.796359112256141977e+00 3.881280330673190448e+00 -5.153956007012360490e-11
5.070000000000000000e+02 4.797269133488046400e+00 3.881535674203759001e+00 -4.466180151452736622e-11
5.130000000000000000e+02 4.797946175628156951e+00 3.881866376977418209e+00 -5.503295300118794263e-11
5.190000000000000000e+02 4.798707897864293415e+00 3.882633176325656077e+00 -1.139204831772220700e-10
5.250000000000000000e+02 4.799355421507036645e+00 3.883643765497378553e+00 -7.524704197079844065e-11
5.310000000000000000e+02 4.800000040325983264e+00 3.885013546706041154e+00 -9.553898574300506164e-11
5.370000000000000000e+02 4.800768567170895729e+00 3.886580087941493566e+00 -4.952112012048957819e-11
5.430000000000000000e+02 4.801709640832928727e+00 3.888353023441537548e+00 -2.774219974971653002e-11
5.490000000000000000e+02 4.802806709626952220e+00 3.890139191516625683e+00 -2.831599334282195394e-11
5.550000000000000000e+02 4.803949069156669971e+00 3.891855850106584747e+00 -5.008162226549878065e-11
5.610000000000000000e+02 4.805020267814262169e+00 3.893434536963449322e+00 -8.555918690145376235e-11
5.670000000000000000e+02 4.806104064206489390e+00 3.894879521734319283e+00 1.811546958162816472e-10
5.730000000000000000e+02 4.807120510489518495e+00 3.896022037219115219e+00 1.529139618253866620e-10
5.790000000000000000e+02 4.808394438987686925e+00 3.897186934029466698e+00 1.301352705417816644e-10
5.850000000000000000e+02 4.809536614090280437e+00 3.898127605768122006e+00 2.368819228713284034e-10
5.910000000000000000e+02 4.810794962976921774e+00 3.899294703816763796e+00 2.378663037221843221e-10
5.970000000000000000e+02 4.811687111552100049e+00 3.900244131252541546e+00 2.601017749203227669e-10
6.030000000000000000e+02 4.812429318221830954e+00 3.901341195305532139e+00 3.705682688841770288e-10
6.090000000000000000e+02 4.813055803547162448e+00 3.902415882157721949e+00 2.365764451341145232e-10
6.150000000000000000e+02 4.813596256774414606e+00 3.903662097869903036e+00 3.146942034208330519e-11
6.210000000000000000e+02 4.813930279146658719e+00 3.904874798104394085e+00 9.722846675773964318e-11
6.270000000000000000e+02 4.813976279359486909e+00 3.906146223039490106e+00 2.918849177230026744e-11
6.330000000000000000e+02 4.813753312115165883e+00 3.907319608049779180e+00 1.256526887235599310e-10
6.390000000000000000e+02 4.813403397904989944e+00 3.908591562035729439e+00 1.744072453061917100e-10
6.450000000000000000e+02 4.813079638333480403e+00 3.909915952593571387e+00 1.683781802316614695e-10
6.510000000000000000e+02 4.812792540108247863e+00 3.911249198753306011e+00 1.685861730279115333e-11
6.570000000000000000e+02 4.812589852261135448e+00 3.912574241860066859e+00 -1.114563606698397071e-10
6.630000000000000000e+02 4.812522434046247355e+00 3.913834973851115340e+00 4.390873481772755327e-10
6.690000000000000000e+02 4.812647191828004267e+00 3.915037514276363151e+00 3.665776502373386579e-10
6.750000000000000000e+02 4.812889344213263421e+00 3.916454271218049676e+00 3.070625925610803521e-10
