# z, uu, uv, uw, vv, vw, ww
2.670000000000000000e+02 1.180453169038410410e-01 -1.144823438244988757e-02 -1.994362772009106513e-02 1.217158336139109870e-01 -1.981006297995446808e-02 2.809087894931319718e-01
2.730000000000000000e+02 1.178096294448608139e-01 -1.108930592033802696e-02 -1.985406630329818872e-02 1.221269822741641309e-01 -1.975411795981428173e-02 2.830969499213557006e-01
2.790000000000000000e+02 1.174249977196263478e-01 -1.074775489619165386e-02 -1.978266353939197447e-02 1.223940767773781940e-01 -1.976536268569987695e-02 2.850648586795655470e-01
2.850000000000000000e+02 1.173380202467626254e-01 -1.044894784865794089e-02 -1.971162291921951110e-02 1.230720291695789892e-01 -1.971102128527075018e-02 2.867671903909011499e-01
2.910000000000000000e+02 1.170009227571805199e-01 -1.016466132491433520e-02 -1.963430477525286016e-02 1.235193877117176792e-01 -1.969864937246063735e-02 2.883500472160173134e-01
2.970000000000000000e+02 1.163108786107115294e-01 -9.938302322319726018e-03 -1.953032160010172852e-02 1.235896505316531890e-01 -1.969105015248769075e-02 2.898489679163295252e-01
3.030000000000000000e+02 1.160058580048381888e-01 -9.596057565091657346e-03 -1.946826663942210697e-02 1.239101602685740156e-01 -1.966822191461146604e-02 2.911251713591559986e-01
3.090000000000000000e+02 1.155306713308743849e-01 -9.343277184203798574e-03 -1.936154804547550456e-02 1.239546042077508264e-01 -1.964529354466180641e-02 2.922295691688417407e-01
3.150000000000000000e+02 1.152427463724434997e-01 -9.056395657383437686e-03 -1.929151132528099735e-02 1.241687344978388008e-01 -1.961869162344220124e-02 2.931425009427309769e-01
3.210000000000000000e+02 1.148694701761624609e-01 -8.752540049914140155e-03 -1.918725873347779803e-02 1.243740240347178533e-01 -1.958925666717906480e-02 2.938963204934658680e-01
3.270000000000000000e+02 1.145916965566446538e-01 -8.409411853964158384e-03 -1.911251854400633499e-02 1.246828074422241528e-01 -1.956583943853239249e-02 2.944992268880688435e-01
3.330000000000000000e+02 1.142197150126404714e-01 -8.069249274227047880e-03 -1.900937090327148304e-02 1.249965931216463072e-01 -1.953039658756408267e-02 2.949731395156750535e-01
3.390000000000000000e+02 1.139263059218410951e-01 -7.716908020470546886e-03 -1.891933301324733030e-02 1.252472910282199092e-01 -1.950045954294053752e-02 2.953366209648479734e-01
3.450000000000000000e+02 1.136208598799137437e-01 -7.445796593486458947e-03 -1.880359200495964472e-02 1.254396091627005272e-01 -1.944961864532435483e-02 2.956247270815530181e-01
3.510000000000000000e+02 1.132690751863748152e-01 -7.261710044755365426e-03 -1.869822961664362876e-02 1.255163740067148648e-01 -1.940924095807061017e-02 2.958763694207511286e-01
3.570000000000000000e+02 1.128733228638404001e-01 -7.158801149806259638e-03 -1.856743296989632822e-02 1.256130072668681097e-01 -1.934279001373107043e-02 2.961105025050707606e-01
3.630000000000000000e+02 1.124911849687680598e-01 -6.919555731265227168e-03 -1.845407438299298888e-02 1.254814462387185137e-01 -1.929894973363529068e-02 2.963508664764050726e-01
3.690000000000000000e+02 1.122971552702533016e-01 -6.494740529057935197e-03 -1.831043978034601824e-02 1.255533238249671446e-01 -1.922461192311608613e-02 2.965588476385528915e-01
3.750000000000000000e+02 1.120137144490264691e-01 -5.833844226474366526e-03 -1.818175163958154691e-02 1.252867656633871452e-01 -1.918061920146861207e-02 2.967280679577786739e-01
3.810000000000000000e+02 1.120291479974580423e-01 -5.078716803191156426e-03 -1.804338072451313821e-02 1.256293492669350031e-01 -1.910598711564724661e-02 2.967353652159859245e-01
3.870000000000000000e+02 1.117218697330313038e-01 -4.115773979423235744e-03 -1.791003228460642804e-02 1.258474901722539674e-01 -1.904730413223951896e-02 2.966717448261292356e-01
3.930000000000000000e+02 1.111306653157753260e-01 -3.424982712552951565e-03 -1.775356421914591615e-02 1.261128881762010878e-01 -1.898744768501812660e-02 2.965598255227125946e-01
3.990000000000000000e+02 1.108315801892555269e-01 -2.605337281880352497e-03 -1.764156755520934761e-02 1.265092798435368260e-01 -1.893147386929457804e-02 2.962788423845228447e-01
4.050000000000000000e+02 1.104516148277220472e-01 -1.872610698541485102e-03 -1.749638509979384998e-02 1.267007746044158389e-01 -1.886593611192470890e-02 2.958837133270995623e-01
4.110000000000000000e+02 1.102796843551541728e-01 -1.090035785886947148e-03 -1.739507362446026870e-02 1.270251748584247387e-01 -1.881286937361050654e-02 2.953349390400668018e-01
4.170000000000000000e+02 1.100185180143184172e-01 -4.634152194408755802e-04 -1.726543600459014630e-02 1.272827684971694351e-01 -1.875374666098123672e-02 2.946418474450513969e-01
4.230000000000000000e+02 1.099076348119175234e-01 8.393303941198841374e-05 -1.716422797231589165e-02 1.275156708817984930e-01 -1.870470006177567951e-02 2.937939244695295105e-01
4.290000000000000000e+02 1.097833709952969750e-01 4.707171290346408819e-04 -1.705093925364616764e-02 1.276882933209277649e-01 -1.865509273698576220e-02 2.928106820020829337e-01
4.350000000000000000e+02 1.095872877749350244e-01 8.692619323290358847e-04 -1.695124573043119143e-02 1.276667287171931731e-01 -1.862020704769725907e-02 2.917263567471780061e-01
4.410000000000000000e+02 1.092743318997132784e-01 1.210621719433121633e-03 -1.684595693892991172e-02 1.276131823935061638e-01 -1.857582601941565673e-02 2.905811980384836457e-01
4.470000000000000000e+02 1.088450440713067541e-01 1.587485311939387106e-03 -1.675492840379145740e-02 1.273709710866888500e-01 -1.854665702322646700e-02 2.894086048721060678e-01
4.530000000000000000e+02 1.084490906877427913e-01 1.942032281064945192e-03 -1.665312762911671032e-02 1.272794515433926799e-01 -1.849952776118043637e-02 2.882073346609148601e-01
4.590000000000000000e+02 1.079529813988306802e-01 2.476285619898693086e-03 -1.656558981841847744e-02 1.270584313891173212e-01 -1.846089309473455606e-02 2.869795391220386072e-01
4.650000000000000000e+02 1.076829935995153170e-01 2.990997923516154622e-03 -1.645081411943953575e-02 1.270922858567543334e-01 -1.838929257336069378e-02 2.856898898041009272e-01
4.710000000000000000e+02 1.069681535441981135e-01 3.696465919176392893e-03 -1.634324336444207756e-02 1.266702599588266087e-01 -1.832428636525059579e-02 2.843664896913860596e-01
4.770000000000000000e+02 1.066820994649104182e-01 4.282535392780070262e-03 -1.622280243400959707e-02 1.267895251463165007e-01 -1.822919253186041158e-02 2.829259627964191282e-01
4.830000000000000000e+02 1.060235128906990704e-01 5.185035740572759531e-03 -1.609388224194556460e-02 1.262398630532546029e-01 -1.813304233046831096e-02 2.814790271253416187e-01
4.890000000000000000e+02 1.053499098407093687e-01 5.704683131033779636e-03 -1.592987089967176639e-02 1.255707016758357275e-01 -1.798060913835545713e-02 2.800549972435784629e-01
4.950000000000000000e+02 1.049743954701984616e-01 6.265625954410753047e-03 -1.579767670402218785e-02 1.249102601833063375e-01 -1.785898616220116947e-02 2.785422347433376133e-01
5.010000000000000000e+02 1.044386311267871820e-01 6.522590364090704619e-03 -1.561811021301327818e-02 1.240429741715352585e-01 -1.766937768149863530e-02 2.770062943620615892e-01
