# z, u, v, w
1.497000000000000000e+03 6.490528403301724758e+00 -5.805090927764106068e-01 -7.649444037052197968e-10
1.503000000000000000e+03 6.490539890300715875e+00 -5.805029553899794248e-01 -8.912785256870038900e-10
1.509000000000000000e+03 6.490565556487474019e+00 -5.804874868843371560e-01 -9.526508915071427710e-10
1.515000000000000000e+03 6.490591254034425717e+00 -5.804752452213235436e-01 -7.058472994803127841e-10
1.521000000000000000e+03 6.490622955244830905e+00 -5.804840519027169021e-01 -5.325639172763389414e-10
1.527000000000000000e+03 6.490651565753820407e+00 -5.805101644954376860e-01 -1.319282904516968536e-09
1.533000000000000000e+03 6.490536234075499955e+00 -5.804833134804789907e-01 -1.214337067797233480e-09
1.539000000000000000e+03 6.490545102591771531e+00 -5.804276499910548948e-01 -1.082262282739063600e-09
1.545000000000000000e+03 6.490675868156364992e+00 -5.804536686716434968e-01 -1.211086176220647706e-09
1.551000000000000000e+03 6.490675941804060045e+00 -5.804448182152817104e-01 -1.343934574473302197e-09
1.557000000000000000e+03 6.490671489156413898e+00 -5.804063302332062024e-01 -1.139907789768690858e-09
1.563000000000000000e+03 6.490688169228038262e+00 -5.804192107202378326e-01 -1.304611793685292100e-09
1.569000000000000000e+03 6.490681132322632330e+00 -5.804127384459873973e-01 -1.059232357248331000e-09
1.575000000000000000e+03 6.490679549012768668e+00 -5.804035022857104709e-01 -1.182990891362467282e-09
1.581000000000000000e+03 6.490681414675042227e+00 -5.804009617890869555e-01 -9.927285609609226270e-10
1.587000000000000000e+03 6.490682909334299922e+00 -5.804005644125920238e-01 -1.006053071578919956e-09
1.593000000000000000e+03 6.490681778476830033e+00 -5.804007679009884901e-01 -8.743036312383639361e-10
1.599000000000000000e+03 6.490679288541782554e+00 -5.804027443187708135e-01 -8.237418570920460441e-10
1.605000000000000000e+03 6.490675381209559447e+00 -5.804073043936585075e-01 -7.748835606532260327e-10
1.611000000000000000e+03 6.490669220603049183e+00 -5.804139247567184912e-01 -6.589884750102107650e-10
1.617000000000000000e+03 6.490660502148352329e+00 -5.804225670535565484e-01 -7.410945757423465017e-10
1.623000000000000000e+03 6.490648846983092746e+00 -5.804332446341297080e-01 -7.425092674334871797e-10
1.629000000000000000e+03 6.490634003741910796e+00 -5.804455747448233893e-01 -7.665297522658340842e-10
1.635000000000000000e+03 6.490615749767434828e+00 -5.804591385245647661e-01 -7.928816105823967683e-10
1.641000000000000000e+03 6.490594120871246098e+00 -5.804733265106367668e-01 -8.947073023068451929e-10
1.647000000000000000e+03 6.490569257351881838e+00 -5.804877363764435749e-01 -7.627639663132346732e-10
1.653000000000000000e+03 6.490541590230706426e+00 -5.805017106283507644e-01 -8.705280072822516907e-10
1.659000000000000000e+03 6.490511381148898806e+00 -5.805153257312039017e-01 -9.814135907260243771e-10
1.665000000000000000e+03 6.490479719876493192e+00 -5.805278188136603346e-01 -9.113557211534053482e-10
1.671000000000000000e+03 6.490446637021908494e+00 -5.805403906970701966e-01 -5.911326889123514768e-10
1.677000000000000000e+03 6.490414244302622038e+00 -5.805520420143549520e-01 -6.983361322818593176e-10
1.683000000000000000e+03 6.490381334814962599e+00 -5.805643767851869086e-01 -6.780364864652318828e-10
1.689000000000000000e+03 6.490353356748384428e+00 -5.805766952321606000e-01 -8.550891860773937315e-10
1.695000000000000000e+03 6.490330845913539370e+00 -5.805860561738069858e-01 -1.035731877061402616e-09
1.701000000000000000e+03 6.490322191195032175e+00 -5.805968693686026638e-01 -8.698445721977973352e-10
