# z, uu, uv, uw, vv, vw, ww
3.690000000000000000e+02 8.567368204018814548e-02 -1.776858366246554218e-03 -3.036417386274372493e-02 1.061337227173394515e-01 4.354821380655147199e-03 2.766091793582855507e-01
3.750000000000000000e+02 8.529347670612810739e-02 -2.165188767279707400e-03 -3.016864790840185009e-02 1.056160242744727112e-01 4.537986098328445142e-03 2.785339518580606244e-01
3.810000000000000000e+02 8.546994844066869990e-02 -2.588392071174343018e-03 -2.994111322110873039e-02 1.053726274720647033e-01 4.683202935089819836e-03 2.803476302816685362e-01
3.870000000000000000e+02 8.551981628234904542e-02 -3.050061368858480830e-03 -2.971951091772732576e-02 1.049907311633716533e-01 4.847178763961024379e-03 2.821383506587886170e-01
3.930000000000000000e+02 8.533845599601089238e-02 -3.426496271049110469e-03 -2.950804377971734740e-02 1.043529193585449322e-01 5.015059548432628835e-03 2.839346057937880974e-01
3.990000000000000000e+02 8.561280915072988495e-02 -3.740480474638634839e-03 -2.928573964901387897e-02 1.040905254077808401e-01 5.149938044169946952e-03 2.855842053366323685e-01
4.050000000000000000e+02 8.572610568234349804e-02 -3.973671755546202659e-03 -2.906264266874793514e-02 1.037748105746269800e-01 5.287843018037163313e-03 2.871470433461323912e-01
4.110000000000000000e+02 8.598191935519190754e-02 -4.162565287981896157e-03 -2.884108425332490913e-02 1.037564393185778922e-01 5.399261115291239914e-03 2.885818185723910689e-01
4.170000000000000000e+02 8.617585009469280743e-02 -4.340962011856601931e-03 -2.861465020954315208e-02 1.037471393495145028e-01 5.499938563003990005e-03 2.898947445719413096e-01
4.230000000000000000e+02 8.648878087531056136e-02 -4.515615410577799790e-03 -2.839155107823037108e-02 1.038172915887068948e-01 5.564376600449501102e-03 2.910723871129824447e-01
4.290000000000000000e+02 8.673187431784848411e-02 -4.610809102556222630e-03 -2.817347754130247392e-02 1.038544913875813769e-01 5.611284389533730162e-03 2.921275499379470952e-01
4.350000000000000000e+02 8.706265480755917552e-02 -4.661309630740794428e-03 -2.795755301427624295e-02 1.038901005558787310e-01 5.626320459452137553e-03 2.930609961805288877e-01
4.410000000000000000e+02 8.741883738875975973e-02 -4.723693362538480302e-03 -2.774679692033528780e-02 1.039173799248275659e-01 5.621626221731098119e-03 2.938786940349049637e-01
4.470000000000000000e+02 8.779878232378644787e-02 -4.816744083000556488e-03 -2.752806352834382894e-02 1.040496886018575373e-01 5.592353980370189971e-03 2.945841445557658145e-01
4.530000000000000000e+02 8.825697339861829360e-02 -4.939279525342727198e-03 -2.730964170454203144e-02 1.043199567331535293e-01 5.545496391505517694e-03 2.951801131591193506e-01
4.590000000000000000e+02 8.877520874096576919e-02 -5.064609325445059221e-03 -2.708455666872429390e-02 1.046739668843007232e-01 5.479389475970094375e-03 2.956744079154116633e-01
4.650000000000000000e+02 8.931821349314117420e-02 -5.169922498676464244e-03 -2.685199656582487257e-02 1.051068591718779116e-01 5.399439865746072723e-03 2.960935923015735605e-01
4.710000000000000000e+02 8.991194764125955141e-02 -5.234867435585449473e-03 -2.661300167913083908e-02 1.056511381001959266e-01 5.309419783018635292e-03 2.964500278929018129e-01
4.770000000000000000e+02 9.057967843930887775e-02 -5.246180150511077153e-03 -2.637201521068638366e-02 1.063650400042524119e-01 5.210981000634406536e-03 2.967436081821054894e-01
4.830000000000000000e+02 9.135061124816599987e-02 -5.195461085789082611e-03 -2.613221121273865202e-02 1.072132583111568699e-01 5.101215604472432268e-03 2.969650831368149113e-01
4.890000000000000000e+02 9.216597489732727966e-02 -5.135900747914442718e-03 -2.587905886397724731e-02 1.081105237077449321e-01 4.983990653105973591e-03 2.971025214984104323e-01
4.950000000000000000e+02 9.293517016168037492e-02 -5.138093667149985257e-03 -2.561841687957266273e-02 1.091582228769909929e-01 4.856985480558397190e-03 2.971589588160739592e-01
