# z, uu, uv, uw, vv, vw, ww
3.570000000000000000e+02 1.537595021340612544e-01 -1.261203436849713758e-03 -3.256125490603951206e-02 1.237122435710253099e-01 -3.276225644413769105e-03 2.818511006106419470e-01
3.630000000000000000e+02 1.530157993722353893e-01 -9.610373548981870993e-04 -3.236845171959316231e-02 1.229976164376792719e-01 -3.139529926496817044e-03 2.813687015619101839e-01
3.690000000000000000e+02 1.523906959026271046e-01 -7.566790489249749759e-04 -3.215924309218734511e-02 1.225046037746608529e-01 -2.984828061990141453e-03 2.807571370299454250e-01
3.750000000000000000e+02 1.515687666645983700e-01 -6.061786725590344749e-04 -3.195765619474036368e-02 1.220993998943989689e-01 -2.856607164520638589e-03 2.800353145493096330e-01
3.810000000000000000e+02 1.508836561745320604e-01 -5.479937747657039407e-04 -3.173942236286028673e-02 1.221243398395341490e-01 -2.697480718027968610e-03 2.791620262706601130e-01
3.870000000000000000e+02 1.499027065666747316e-01 -5.748582424287572218e-04 -3.153034946267397470e-02 1.221654945246049423e-01 -2.555934144078837993e-03 2.782138999842987404e-01
3.930000000000000000e+02 1.487619042910770517e-01 -7.009286697114879483e-04 -3.130973122558208810e-02 1.224193253395510772e-01 -2.428335045518278165e-03 2.772290861488879155e-01
3.990000000000000000e+02 1.473324005990177821e-01 -9.040739435997531591e-04 -3.110156078024038651e-02 1.227681355993675422e-01 -2.280838927478076854e-03 2.761531924169307595e-01
4.050000000000000000e+02 1.456921635277804716e-01 -1.117288602215605426e-03 -3.087372399792694122e-02 1.231278624193491156e-01 -2.141982384964149708e-03 2.750348229207504325e-01
4.110000000000000000e+02 1.440837372943816475e-01 -1.308887601039067155e-03 -3.064882648325347944e-02 1.234240781525625663e-01 -1.999943741115558799e-03 2.738879953512918242e-01
4.170000000000000000e+02 1.425255316733249067e-01 -1.592155007511091838e-03 -3.040476871308206430e-02 1.235665716872711567e-01 -1.863191834620647920e-03 2.727451702735227412e-01
4.230000000000000000e+02 1.408987423664358474e-01 -1.943367999860199941e-03 -3.015760728666125323e-02 1.235945926166305275e-01 -1.732559573187536332e-03 2.716223272659652466e-01
