# z, u, v, w
4.230000000000000000e+02 4.851751479266106060e+00 3.974585093036695493e+00 1.546676236399615402e-10
4.290000000000000000e+02 4.852663247790800938e+00 3.973471798589573112e+00 1.246093709339707490e-10
4.350000000000000000e+02 4.853788907387087903e+00 3.972697268676179227e+00 1.491086736156183844e-10
4.410000000000000000e+02 4.855075709404199635e+00 3.972279471421142016e+00 9.569684179077774621e-11
4.470000000000000000e+02 4.856619069130106325e+00 3.972098562972925517e+00 7.405277944662227816e-11
4.530000000000000000e+02 4.858335592941750214e+00 3.972100929365114830e+00 5.271376591022740722e-11
4.590000000000000000e+02 4.860162300119773349e+00 3.972172524285659811e+00 1.132172514102113193e-10
4.650000000000000000e+02 4.862080400497968746e+00 3.972249255022094250e+00 1.327744780855338462e-10
4.710000000000000000e+02 4.864326048502196187e+00 3.972222765946556322e+00 -2.061067415279067498e-11
4.770000000000000000e+02 4.866668388243987842e+00 3.972156769069514315e+00 -8.327362700471358567e-12
4.830000000000000000e+02 4.869481651746488282e+00 3.972088794366314790e+00 1.822839922587383929e-11
4.890000000000000000e+02 4.872185350300022755e+00 3.972126661705351669e+00 -4.499982841583765641e-11
4.950000000000000000e+02 4.875229037230748297e+00 3.972331245207364692e+00 -2.562445911467804848e-11
5.010000000000000000e+02 4.878227575846358022e+00 3.972702735994855239e+00 -5.340725933802598790e-11
5.070000000000000000e+02 4.881351781550871571e+00 3.973223903412508751e+00 -4.624464980204244054e-11
5.130000000000000000e+02 4.884495589049254960e+00 3.973858238124892583e+00 -5.683708774966811480e-11
5.190000000000000000e+02 4.887714971275619824e+00 3.974516170833373163e+00 -1.160172850846329782e-10
5.250000000000000000e+02 4.890748555843933865e+00 3.975099215335898606e+00 -7.701534894475188919e-11
5.310000000000000000e+02 4.893629211546764779e+00 3.975632848318146007e+00 -9.755397044293781429e-11
5.370000000000000000e+02 4.896377877320031935e+00 3.976184378211996329e+00 -5.126850725824141738e-11
5.430000000000000000e+02 4.899122367644771714e+00 3.976792306607560779e+00 -2.950577036932061872e-11
